施策名,都道府県,エリア名,配布部数,総費用（税抜）,印刷費（税抜）,配布費（税抜）,配布開始日,初回購入人数（配布開始から90日以内／配達完了のみ）,初回購入人数（配布開始から90日以内／キャンセル含む）,グロス費用,CPA
2024.1月大規模ポスティング①,東京都,池袋,"45,000","297,000","85,500","211,500",2024/1/1,80,81,"371,250","4,583"
2024.1月大規模ポスティング①,広島県,横川新町,"44,000","290,400","83,600","206,800",2024/1/1,33,33,"363,000","11,000"
2024.1月大規模ポスティング①,兵庫県,能松町,"43,000","283,800","81,700","202,100",2024/1/1,90,94,"354,750","3,774"
2024.1月大規模ポスティング①,東京都,大井,"42,000","277,200","79,800","197,400",2024/1/1,58,58,"346,500","5,974"
2024.1月大規模ポスティング①,東京都,高円寺,"40,000","264,000","76,000","188,000",2024/1/1,79,79,"330,000","4,177"
2024.1月大規模ポスティング①,東京都,蒲田,"38,500","254,100","73,150","180,950",2024/1/1,86,86,"317,625","3,693"
2024.1月大規模ポスティング①,東京都,麻布,"38,000","250,800","72,200","178,600",2024/1/1,74,74,"313,500","4,236"
2024.1月大規模ポスティング①,東京都,板橋,"37,000","244,200","70,300","173,900",2024/1/1,94,94,"305,250","3,247"
2024.1月大規模ポスティング①,東京都,中野沼袋,"37,000","244,200","70,300","173,900",2024/1/1,89,89,"305,250","3,430"
2024.1月大規模ポスティング①,広島県,光町,"37,000","244,200","70,300","173,900",2024/1/1,26,27,"305,250","11,306"
2024.1月大規模ポスティング①,東京都,武蔵小山,"35,000","231,000","66,500","164,500",2024/1/1,44,45,"288,750","6,417"
2024.1月大規模ポスティング①,東京都,赤提,"34,500","227,700","65,550","162,150",2024/1/1,38,38,"284,625","7,490"
2024.1月大規模ポスティング①,東京都,上中里,"34,500","227,700","65,550","162,150",2024/1/1,26,27,"284,625","10,542"
2024.1月大規模ポスティング①,東京都,学芸大学,"33,000","217,800","62,700","155,100",2024/1/1,23,23,"272,250","11,837"
2024.1月大規模ポスティング①,東京都,東葛西,"33,000","217,800","62,700","155,100",2024/1/1,73,74,"272,250","3,679"
