エリア名,平均単価（クーポン込み）,平均単価（クーポン抜）,最も注文が多い時間帯,クーポン利用率,1ユーザーあたり注文回数,平均LTV（クーポン込み）,平均LTV（クーポン抜）,,,
あけぼの,"1,791","1,085",11,86.00%,6.38,"11,430","6,924",,,
あざみ野,"1,975","1,048",11,98.40%,2.18,"4,314","2,289",,,
あびこ,"1,923","1,364",11,76.70%,6.27,"12,047","8,543",,,
いずみ野,"2,002","1,052",18,98.50%,2.3,"4,611","2,423",,,
お花茶屋,"1,966","1,471",18,71.70%,8.76,"17,209","12,876",,,
くぬぎ山,"1,857","1,035",11,92.60%,4.28,"7,956","4,436",,,
すすきの町,"1,944","1,163",11,92.00%,5.48,"10,651","6,372",,,
せんげん台,"1,729",807,18,100.00%,2.34,"4,052","1,890",,,
つきみ野,"1,943","1,331",18,76.40%,5.81,"11,282","7,729",,,
つくば柳橋,"1,617",417,10,100.00%,1.5,"2,425",625,,,
ときわ台,"1,847","1,362",19,71.10%,8.55,"15,803","11,650",,,
なんば,"1,882","1,327",19,75.90%,7.73,"14,543","10,253",,,
ぬで島町,"1,736",938,17,96.90%,10.76,"18,688","10,098",,,
はびきの,"1,963","1,003",11,100.00%,2.27,"4,462","2,280",,,
ひばりが丘,"1,851","1,173",11,90.20%,7.08,"13,098","8,304",,,
ひよどり台,"1,869",998,10,100.00%,3.17,"5,920","3,162",,,
ふじみ野霞ケ丘,"1,878","1,171",11,88.20%,6.64,"12,470","7,772",,,
みどり台,"1,873","1,003",11,97.40%,2.53,"4,744","2,541",,,
インター南,"1,988","1,544",12,62.10%,8.11,"16,125","12,525",,,
ドーム前,"1,855","1,304",19,76.40%,8.97,"16,636","11,698",,,
レイクタウン,"1,942","1,290",11,84.00%,5.47,"10,617","7,050",,,
一ツ木町3丁目,"1,750",897,18,92.00%,7.67,"13,423","6,878",,,
一津屋,"1,983","1,326",19,87.00%,5.99,"11,879","7,942",,,
一社,"1,826","1,041",11,94.70%,8.51,"15,531","8,852",,,
一色,"1,838","1,169",16,84.20%,2.38,"4,364","2,777",,,
七左町,"1,950","1,397",19,77.00%,6.3,"12,290","8,808",,,
七番町,"1,816","1,242",18,75.00%,5.65,"10,260","7,017",,,
七里ヶ浜,"2,525","1,575",18,100.00%,1,"2,525","1,575",,,
七隈,"1,810","1,033",19,93.80%,4.28,"7,743","4,419",,,
万町,"1,790","1,252",19,76.70%,7.57,"13,555","9,481",,,
万願寺,"1,882","1,276",18,82.60%,6.9,"12,987","8,805",,,
三ケ島,"1,973","1,024",18,92.80%,1.83,"3,612","1,875",,,
三ツ島,"1,930","1,264",18,81.90%,4.94,"9,524","6,237",,,
三保,"2,044","1,172",20,97.60%,2.56,"5,237","3,003",,,
三原,"1,875","1,315",18,78.50%,6.08,"11,402","7,994",,,
三反田町,"2,046","1,447",19,79.60%,5.52,"11,301","7,992",,,
三園,"1,840","1,392",19,69.70%,11.57,"21,281","16,102",,,
三宅中,"2,032","1,406",11,79.70%,5.33,"10,823","7,489",,,
三島,"1,804","1,237",18,72.90%,7.48,"13,489","9,250",,,
三本木五丁目,"1,951","1,393",19,74.50%,6.21,"12,117","8,654",,,
三橋,"1,880","1,318",18,77.80%,6.15,"11,565","8,113",,,
三沢,"1,948","1,352",11,81.00%,7.54,"14,697","10,201",,,
三箇,"2,155","1,255",18,94.90%,2.39,"5,158","3,003",,,
三組町,"1,640",845,18,96.00%,7.43,"12,178","6,276",,,
三軒茶屋,"2,032","1,549",19,68.30%,11.07,"22,493","17,153",,,
三郷市早稲田,"1,983","1,266",18,91.00%,6.73,"13,346","8,518",,,
上中居町,"1,721",856,11,94.20%,7.11,"12,236","6,086",,,
上中里,"1,990","1,507",11,70.40%,9.46,"18,824","14,260",,,
上中里町,"1,979","1,063",11,100.00%,2.45,"4,841","2,599",,,
上井草,"1,912","1,460",19,65.40%,8.25,"15,770","12,040",,,
上作延,"1,974","1,348",11,82.40%,6.55,"12,927","8,826",,,
上倉田町,"1,818","1,118",18,83.90%,7.26,"13,200","8,117",,,
上南畑,"1,975",848,16,100.00%,1.08,"2,140",919,,,
上吉田,"1,753","1,090",18,84.90%,6.91,"12,111","7,529",,,
上和田,"1,898",969,13,97.60%,2.14,"4,065","2,074",,,
上大増新田,"1,791","1,039",12,92.20%,5.04,"9,029","5,237",,,
上大岡東,"1,939","1,280",18,83.80%,6.44,"12,490","8,243",,,
上大市,"2,060","1,088",12,97.90%,1.79,"3,686","1,947",,,
上安松,"1,909","1,307",11,79.90%,5.53,"10,550","7,224",,,
上富,"1,874",674,11,100.00%,1,"1,874",674,,,
上小田中,"1,935","1,365",11,77.90%,6.26,"12,109","8,542",,,
上尾村,"2,093","1,171",12,97.00%,2.04,"4,271","2,389",,,
上尾町,"2,146","1,371",19,87.30%,3.97,"8,528","5,448",,,
上山口,"2,995","1,595",17,100.00%,1,"2,995","1,595",,,
上川井,"2,356","1,571",17,91.90%,3.7,"8,717","5,812",,,
上川崎,"1,837","1,050",18,88.60%,4.77,"8,766","5,012",,,
上戸田,"1,823","1,289",19,77.10%,7.34,"13,383","9,461",,,
上新庄,"1,853","1,323",19,74.40%,6.56,"12,149","8,677",,,
上早見,"1,822","1,168",16,88.40%,8.12,"14,787","9,479",,,
上末吉,"2,051","1,496",11,77.60%,7.41,"15,194","11,083",,,
上本郷,"1,991","1,030",19,100.00%,1.97,"3,930","2,033",,,
上水本町,"1,863","1,340",11,73.50%,7.1,"13,232","9,514",,,
上津島,"1,946","1,340",18,82.80%,6.65,"12,935","8,911",,,
上溝,"1,901","1,033",19,93.40%,2.43,"4,622","2,513",,,
上熊本,"1,732",996,18,92.60%,9.27,"16,054","9,231",,,
上牧町,"1,654",888,21,98.40%,3.05,"5,041","2,707",,,
上田,"1,902","1,095",19,91.80%,4.47,"8,502","4,896",,,
上白根,"2,113","1,172",18,96.30%,4.03,"8,506","4,718",,,
上矢切,"1,867","1,211",11,85.80%,5.74,"10,718","6,952",,,
上矢部,"1,834","1,014",11,90.60%,4.64,"8,506","4,700",,,
上祖師谷,"2,091","1,549",19,74.10%,7.64,"15,980","11,841",,,
上穂積,"1,976","1,033",18,97.60%,2.4,"4,733","2,475",,,
上篠崎,"1,915","1,442",18,70.20%,8.8,"16,861","12,693",,,
上草柳,"1,811","1,043",11,91.40%,6.27,"11,360","6,545",,,
