施策名,配布部数,総費用（税抜）,印刷費（税抜）,配布費（税抜）,配布開始日,デザイン,デザインリンク,クーポン,合計注文件数,初回購入人数（配布開始から90日以内／配達完了のみ）,2回目購入人数,合計利用クーポン額,合計購入単価,初回購入人数（配布開始から90日以内／キャンセル含む）,グロス費用,CPA
2024.1月大規模ポスティング①,"16,500","108,900","31,350","77,550",2024/1/1,金券(二千四百円札L),https://drive.google.com/drive/folders/1UlKoe8DZlSdcAY0C3OXX1XXCWnLuVQML,ANRU_YCQD68,317,158,67,"300,200","605,100",161,"136,125",845
2024.1月大規模ポスティング①,"5,500","36,300","10,450","25,850",2024/1/1,金券(二千四百円札L),https://drive.google.com/drive/folders/1UlKoe8DZlSdcAY0C3OXX1XXCWnLuVQML,ANRU_XYHU78,44,26,10,"43,800","88,414",44,"45,375","1,031"
2024.1月大規模ポスティング①,"6,000","39,600","11,400","28,200",2024/1/1,金券(二千四百円札L),https://drive.google.com/drive/folders/1UlKoe8DZlSdcAY0C3OXX1XXCWnLuVQML,ANRU_EMPH98,62,42,11,"64,400","126,040",47,"49,500","1,053"
2024.1月大規模ポスティング①,"9,000","59,400","17,100","42,300",2024/1/1,金券(二千四百円札L),https://drive.google.com/drive/folders/1UlKoe8DZlSdcAY0C3OXX1XXCWnLuVQML,ANRU_GLRJ59,124,67,28,"120,300","245,470",69,"74,250","1,076"
2024.1月大規模ポスティング①,"4,500","29,700","8,550","21,150",2024/1/1,金券(二千四百円札L),https://drive.google.com/drive/folders/1UlKoe8DZlSdcAY0C3OXX1XXCWnLuVQML,ANRU_MPCU58,55,33,12,"55,000","112,061",34,"37,125","1,092"
2024.1月大規模ポスティング①,"11,000","72,600","20,900","51,700",2024/1/1,金券(二千四百円札L),https://drive.google.com/drive/folders/1UlKoe8DZlSdcAY0C3OXX1XXCWnLuVQML,ANRU_FCYK92,119,72,24,"118,800","253,374",83,"90,750","1,093"
2024.1月大規模ポスティング①,"9,000","59,400","17,100","42,300",2024/1/1,金券(お年玉),https://drive.google.com/drive/folders/1LKat3BTC34SANXC0CJrN63dGvqJR0PVt,ANRU_FWLY53,105,63,18,"105,000","213,641",65,"74,250","1,142"
2024.1月大規模ポスティング①,"5,000","33,000","9,500","23,500",2024/1/1,金券(二千四百円札L),https://drive.google.com/drive/folders/1UlKoe8DZlSdcAY0C3OXX1XXCWnLuVQML,ANRU_ETRF97,42,28,7,"43,400","82,732",35,"41,250","1,179"
2024.1月大規模ポスティング①,"9,500","62,700","18,050","44,650",2024/1/1,金券(二千四百円札L),https://drive.google.com/drive/folders/1UlKoe8DZlSdcAY0C3OXX1XXCWnLuVQML,ANRU_NPQZ95,104,63,17,"104,300","213,229",64,"78,375","1,225"
2024.1月大規模ポスティング①,"7,000","46,200","13,300","32,900",2024/1/1,金券(二千四百円札L),https://drive.google.com/drive/folders/1UlKoe8DZlSdcAY0C3OXX1XXCWnLuVQML,ANRU_MPED72,97,47,19,"91,400","188,334",47,"57,750","1,229"
2024.1月大規模ポスティング①,"8,500","56,100","16,150","39,950",2024/1/1,金券(二千四百円札L),https://drive.google.com/drive/folders/1UlKoe8DZlSdcAY0C3OXX1XXCWnLuVQML,ANRU_SBQW48,101,55,22,"98,200","210,591",57,"70,125","1,230"
2024.1月大規模ポスティング①,"10,500","69,300","19,950","49,350",2024/1/1,金券(二千四百円札L),https://drive.google.com/drive/folders/1UlKoe8DZlSdcAY0C3OXX1XXCWnLuVQML,ANRU_JQAN98,106,60,21,"104,200","218,130",69,"86,625","1,255"
2024.1月大規模ポスティング①,"2,000","13,200","3,800","9,400",2024/1/1,金券(二千四百円札L),https://drive.google.com/drive/folders/1UlKoe8DZlSdcAY0C3OXX1XXCWnLuVQML,ANRU_NRYJ29,16,12,2,"17,200","40,851",13,"16,500","1,269"
2024.1月大規模ポスティング①,"3,500","23,100","6,650","16,450",2024/1/1,金券(二千四百円札L),https://drive.google.com/drive/folders/1UlKoe8DZlSdcAY0C3OXX1XXCWnLuVQML,ANRU_HJTK93,20,19,1,"23,500","45,906",22,"28,875","1,313"
2024.1月大規模ポスティング①,"7,500","49,500","14,250","35,250",2024/1/1,金券(二千四百円札L),https://drive.google.com/drive/folders/1UlKoe8DZlSdcAY0C3OXX1XXCWnLuVQML,ANRU_JDBR63,85,47,20,"83,000","179,211",47,"61,875","1,316"
